,index,Iso3,StartDate,EndDate,Area,Item Code,Item,Element,Year,Months Code,Months,Value
26,55,MYS,01/07/2011,31/07/2011,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2011,7007,July,13900
27,56,MYS,01/08/2011,31/08/2011,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2011,7008,August,13900
28,57,MYS,01/09/2011,30/09/2011,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2011,7009,September,14500
29,58,MYS,01/10/2011,31/10/2011,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2011,7010,October,13900
30,59,MYS,01/11/2011,30/11/2011,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2011,7011,November,13900
31,60,MYS,01/12/2011,31/12/2011,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2011,7012,December,13900
32,61,MYS,01/01/2012,31/12/2012,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2012,7021,Annual value,14000
33,62,MYS,01/01/2012,31/01/2012,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2012,7001,January,16350
34,63,MYS,01/02/2012,29/02/2012,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2012,7002,February,17300
35,64,MYS,01/03/2012,31/03/2012,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2012,7003,March,17300
36,65,MYS,01/04/2012,30/04/2012,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2012,7004,April,14000
37,66,MYS,01/05/2012,31/05/2012,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2012,7005,May,14600
38,67,MYS,01/06/2012,30/06/2012,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2012,7006,June,14000
39,68,MYS,01/07/2012,31/07/2012,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2012,7007,July,13500
40,69,MYS,01/08/2012,31/08/2012,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2012,7008,August,14000
41,70,MYS,01/09/2012,30/09/2012,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2012,7009,September,14000
42,71,MYS,01/10/2012,31/10/2012,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2012,7010,October,14000
43,72,MYS,01/11/2012,30/11/2012,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2012,7011,November,14000
44,73,MYS,01/12/2012,31/12/2012,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2012,7012,December,14000
45,74,MYS,01/01/2013,31/12/2013,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2013,7021,Annual value,14000
46,75,MYS,01/01/2013,31/01/2013,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2013,7001,January,14000
47,76,MYS,01/02/2013,28/02/2013,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2013,7002,February,14000
48,77,MYS,01/03/2013,31/03/2013,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2013,7003,March,14000
49,78,MYS,01/04/2013,30/04/2013,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2013,7004,April,14000
50,79,MYS,01/05/2013,31/05/2013,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2013,7005,May,14000
51,80,MYS,01/06/2013,30/06/2013,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2013,7006,June,14000
52,81,MYS,01/07/2013,31/07/2013,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2013,7007,July,14000
53,82,MYS,01/08/2013,31/08/2013,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2013,7008,August,14000
54,83,MYS,01/09/2013,30/09/2013,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2013,7009,September,14000
55,84,MYS,01/10/2013,31/10/2013,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2013,7010,October,14000
56,85,MYS,01/11/2013,30/11/2013,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2013,7011,November,14000
57,86,MYS,01/12/2013,31/12/2013,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2013,7012,December,14000
58,87,MYS,01/01/2014,31/12/2014,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2014,7021,Annual value,19500
59,88,MYS,01/01/2014,31/01/2014,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2014,7001,January,19500
60,89,MYS,01/02/2014,28/02/2014,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2014,7002,February,19500
61,90,MYS,01/03/2014,31/03/2014,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2014,7003,March,19500
62,91,MYS,01/04/2014,30/04/2014,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2014,7004,April,19500
63,92,MYS,01/05/2014,31/05/2014,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2014,7005,May,19500
64,93,MYS,01/06/2014,30/06/2014,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2014,7006,June,19500
65,94,MYS,01/07/2014,31/07/2014,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2014,7007,July,19500
66,95,MYS,01/08/2014,31/08/2014,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2014,7008,August,19500
67,96,MYS,01/09/2014,30/09/2014,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2014,7009,September,19500
68,97,MYS,01/10/2014,31/10/2014,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2014,7010,October,19500
69,98,MYS,01/11/2014,30/11/2014,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2014,7011,November,19500
70,99,MYS,01/12/2014,31/12/2014,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2014,7012,December,19500
71,100,MYS,01/01/2015,31/01/2015,Malaysia,367,Asparagus,Producer Price (LCU/tonne),2015,7001,January,14500
72,145,MYS,01/01/1993,31/12/1993,Malaysia,486,Bananas,Producer Price (LCU/tonne),1993,7021,Annual value,412
73,146,MYS,01/01/1994,31/12/1994,Malaysia,486,Bananas,Producer Price (LCU/tonne),1994,7021,Annual value,438
74,147,MYS,01/01/1995,31/12/1995,Malaysia,486,Bananas,Producer Price (LCU/tonne),1995,7021,Annual value,405
75,148,MYS,01/01/1996,31/12/1996,Malaysia,486,Bananas,Producer Price (LCU/tonne),1996,7021,Annual value,478
76,149,MYS,01/01/1997,31/12/1997,Malaysia,486,Bananas,Producer Price (LCU/tonne),1997,7021,Annual value,495
77,150,MYS,01/01/1998,31/12/1998,Malaysia,486,Bananas,Producer Price (LCU/tonne),1998,7021,Annual value,572
78,151,MYS,01/01/1999,31/12/1999,Malaysia,486,Bananas,Producer Price (LCU/tonne),1999,7021,Annual value,605
79,152,MYS,01/01/2000,31/12/2000,Malaysia,486,Bananas,Producer Price (LCU/tonne),2000,7021,Annual value,622
80,153,MYS,01/01/2001,31/12/2001,Malaysia,486,Bananas,Producer Price (LCU/tonne),2001,7021,Annual value,600
81,154,MYS,01/01/2002,31/12/2002,Malaysia,486,Bananas,Producer Price (LCU/tonne),2002,7021,Annual value,615
82,155,MYS,01/01/2003,31/12/2003,Malaysia,486,Bananas,Producer Price (LCU/tonne),2003,7021,Annual value,605
83,156,MYS,01/01/2004,31/12/2004,Malaysia,486,Bananas,Producer Price (LCU/tonne),2004,7021,Annual value,755
84,157,MYS,01/01/2005,31/12/2005,Malaysia,486,Bananas,Producer Price (LCU/tonne),2005,7021,Annual value,820
85,158,MYS,01/01/2006,31/12/2006,Malaysia,486,Bananas,Producer Price (LCU/tonne),2006,7021,Annual value,846
86,159,MYS,01/01/2007,31/12/2007,Malaysia,486,Bananas,Producer Price (LCU/tonne),2007,7021,Annual value,790
87,160,MYS,01/01/2008,31/12/2008,Malaysia,486,Bananas,Producer Price (LCU/tonne),2008,7021,Annual value,750
88,161,MYS,01/01/2009,31/12/2009,Malaysia,486,Bananas,Producer Price (LCU/tonne),2009,7021,Annual value,1050
89,162,MYS,01/01/2010,31/12/2010,Malaysia,486,Bananas,Producer Price (LCU/tonne),2010,7021,Annual value,950
90,163,MYS,01/01/2010,31/01/2010,Malaysia,486,Bananas,Producer Price (LCU/tonne),2010,7001,January,2050
91,164,MYS,01/02/2010,28/02/2010,Malaysia,486,Bananas,Producer Price (LCU/tonne),2010,7002,February,2100
92,165,MYS,01/03/2010,31/03/2010,Malaysia,486,Bananas,Producer Price (LCU/tonne),2010,7003,March,2150
93,166,MYS,01/04/2010,30/04/2010,Malaysia,486,Bananas,Producer Price (LCU/tonne),2010,7004,April,2150
94,167,MYS,01/05/2010,31/05/2010,Malaysia,486,Bananas,Producer Price (LCU/tonne),2010,7005,May,2100
95,168,MYS,01/06/2010,30/06/2010,Malaysia,486,Bananas,Producer Price (LCU/tonne),2010,7006,June,2150
96,169,MYS,01/07/2010,31/07/2010,Malaysia,486,Bananas,Producer Price (LCU/tonne),2010,7007,July,2250
97,170,MYS,01/08/2010,31/08/2010,Malaysia,486,Bananas,Producer Price (LCU/tonne),2010,7008,August,2300
98,171,MYS,01/09/2010,30/09/2010,Malaysia,486,Bananas,Producer Price (LCU/tonne),2010,7009,September,2250
99,172,MYS,01/10/2010,31/10/2010,Malaysia,486,Bananas,Producer Price (LCU/tonne),2010,7010,October,2250
100,173,MYS,01/11/2010,30/11/2010,Malaysia,486,Bananas,Producer Price (LCU/tonne),2010,7011,November,2250
101,174,MYS,01/12/2010,31/12/2010,Malaysia,486,Bananas,Producer Price (LCU/tonne),2010,7012,December,2300
102,175,MYS,01/01/2011,31/12/2011,Malaysia,486,Bananas,Producer Price (LCU/tonne),2011,7021,Annual value,1150
103,176,MYS,01/01/2011,31/01/2011,Malaysia,486,Bananas,Producer Price (LCU/tonne),2011,7001,January,1000
104,177,MYS,01/02/2011,28/02/2011,Malaysia,486,Bananas,Producer Price (LCU/tonne),2011,7002,February,1100
105,178,MYS,01/03/2011,31/03/2011,Malaysia,486,Bananas,Producer Price (LCU/tonne),2011,7003,March,1000
106,179,MYS,01/04/2011,30/04/2011,Malaysia,486,Bananas,Producer Price (LCU/tonne),2011,7004,April,1100
107,180,MYS,01/05/2011,31/05/2011,Malaysia,486,Bananas,Producer Price (LCU/tonne),2011,7005,May,1200
108,181,MYS,01/06/2011,30/06/2011,Malaysia,486,Bananas,Producer Price (LCU/tonne),2011,7006,June,1100
109,182,MYS,01/07/2011,31/07/2011,Malaysia,486,Bananas,Producer Price (LCU/tonne),2011,7007,July,1200
110,183,MYS,01/08/2011,31/08/2011,Malaysia,486,Bananas,Producer Price (LCU/tonne),2011,7008,August,1200
111,184,MYS,01/09/2011,30/09/2011,Malaysia,486,Bananas,Producer Price (LCU/tonne),2011,7009,September,1150
112,185,MYS,01/10/2011,31/10/2011,Malaysia,486,Bananas,Producer Price (LCU/tonne),2011,7010,October,1150
113,186,MYS,01/11/2011,30/11/2011,Malaysia,486,Bananas,Producer Price (LCU/tonne),2011,7011,November,1200
114,187,MYS,01/12/2011,31/12/2011,Malaysia,486,Bananas,Producer Price (LCU/tonne),2011,7012,December,1200
115,188,MYS,01/01/2012,31/12/2012,Malaysia,486,Bananas,Producer Price (LCU/tonne),2012,7021,Annual value,1150
116,189,MYS,01/01/2012,31/01/2012,Malaysia,486,Bananas,Producer Price (LCU/tonne),2012,7001,January,1350
117,190,MYS,01/02/2012,29/02/2012,Malaysia,486,Bananas,Producer Price (LCU/tonne),2012,7002,February,1350
118,191,MYS,01/03/2012,31/03/2012,Malaysia,486,Bananas,Producer Price (LCU/tonne),2012,7003,March,1400
119,192,MYS,01/04/2012,30/04/2012,Malaysia,486,Bananas,Producer Price (LCU/tonne),2012,7004,April,1450
120,193,MYS,01/05/2012,31/05/2012,Malaysia,486,Bananas,Producer Price (LCU/tonne),2012,7005,May,1350
121,194,MYS,01/06/2012,30/06/2012,Malaysia,486,Bananas,Producer Price (LCU/tonne),2012,7006,June,1350
122,195,MYS,01/07/2012,31/07/2012,Malaysia,486,Bananas,Producer Price (LCU/tonne),2012,7007,July,1400
123,196,MYS,01/08/2012,31/08/2012,Malaysia,486,Bananas,Producer Price (LCU/tonne),2012,7008,August,1500
124,197,MYS,01/09/2012,30/09/2012,Malaysia,486,Bananas,Producer Price (LCU/tonne),2012,7009,September,1500
125,198,MYS,01/10/2012,31/10/2012,Malaysia,486,Bananas,Producer Price (LCU/tonne),2012,7010,October,1450
126,199,MYS,01/11/2012,30/11/2012,Malaysia,486,Bananas,Producer Price (LCU/tonne),2012,7011,November,1550
127,200,MYS,01/12/2012,31/12/2012,Malaysia,486,Bananas,Producer Price (LCU/tonne),2012,7012,December,1500
128,201,MYS,01/01/2013,31/12/2013,Malaysia,486,Bananas,Producer Price (LCU/tonne),2013,7021,Annual value,1100
129,202,MYS,01/01/2013,31/01/2013,Malaysia,486,Bananas,Producer Price (LCU/tonne),2013,7001,January,1050
130,203,MYS,01/02/2013,28/02/2013,Malaysia,486,Bananas,Producer Price (LCU/tonne),2013,7002,February,1050
131,204,MYS,01/03/2013,31/03/2013,Malaysia,486,Bananas,Producer Price (LCU/tonne),2013,7003,March,1150
132,205,MYS,01/04/2013,30/04/2013,Malaysia,486,Bananas,Producer Price (LCU/tonne),2013,7004,April,900
133,206,MYS,01/05/2013,31/05/2013,Malaysia,486,Bananas,Producer Price (LCU/tonne),2013,7005,May,1050
134,207,MYS,01/06/2013,30/06/2013,Malaysia,486,Bananas,Producer Price (LCU/tonne),2013,7006,June,1050
135,208,MYS,01/07/2013,31/07/2013,Malaysia,486,Bananas,Producer Price (LCU/tonne),2013,7007,July,1050
136,209,MYS,01/08/2013,31/08/2013,Malaysia,486,Bananas,Producer Price (LCU/tonne),2013,7008,August,1200
137,210,MYS,01/09/2013,30/09/2013,Malaysia,486,Bananas,Producer Price (LCU/tonne),2013,7009,September,1150
138,211,MYS,01/10/2013,31/10/2013,Malaysia,486,Bananas,Producer Price (LCU/tonne),2013,7010,October,1200
139,212,MYS,01/11/2013,30/11/2013,Malaysia,486,Bananas,Producer Price (LCU/tonne),2013,7011,November,1200
140,213,MYS,01/12/2013,31/12/2013,Malaysia,486,Bananas,Producer Price (LCU/tonne),2013,7012,December,1200
141,214,MYS,01/01/2014,31/12/2014,Malaysia,486,Bananas,Producer Price (LCU/tonne),2014,7021,Annual value,1900
142,215,MYS,01/01/2014,31/01/2014,Malaysia,486,Bananas,Producer Price (LCU/tonne),2014,7001,January,1700
143,216,MYS,01/02/2014,28/02/2014,Malaysia,486,Bananas,Producer Price (LCU/tonne),2014,7002,February,1750
144,217,MYS,01/03/2014,31/03/2014,Malaysia,486,Bananas,Producer Price (LCU/tonne),2014,7003,March,1800
145,218,MYS,01/04/2014,30/04/2014,Malaysia,486,Bananas,Producer Price (LCU/tonne),2014,7004,April,1800
146,219,MYS,01/05/2014,31/05/2014,Malaysia,486,Bananas,Producer Price (LCU/tonne),2014,7005,May,1800
147,220,MYS,01/06/2014,30/06/2014,Malaysia,486,Bananas,Producer Price (LCU/tonne),2014,7006,June,1950
148,221,MYS,01/07/2014,31/07/2014,Malaysia,486,Bananas,Producer Price (LCU/tonne),2014,7007,July,1950
149,222,MYS,01/08/2014,31/08/2014,Malaysia,486,Bananas,Producer Price (LCU/tonne),2014,7008,August,1950
150,223,MYS,01/09/2014,30/09/2014,Malaysia,486,Bananas,Producer Price (LCU/tonne),2014,7009,September,1950
151,224,MYS,01/10/2014,31/10/2014,Malaysia,486,Bananas,Producer Price (LCU/tonne),2014,7010,October,1950
152,225,MYS,01/11/2014,30/11/2014,Malaysia,486,Bananas,Producer Price (LCU/tonne),2014,7011,November,2000
153,226,MYS,01/12/2014,31/12/2014,Malaysia,486,Bananas,Producer Price (LCU/tonne),2014,7012,December,2000
154,227,MYS,01/01/2015,31/12/2015,Malaysia,486,Bananas,Producer Price (LCU/tonne),2015,7021,Annual value,1800
155,228,MYS,01/01/2015,31/01/2015,Malaysia,486,Bananas,Producer Price (LCU/tonne),2015,7001,January,2000
156,229,MYS,01/01/2016,31/12/2016,Malaysia,486,Bananas,Producer Price (LCU/tonne),2016,7021,Annual value,1800
157,230,MYS,01/01/2016,31/01/2016,Malaysia,486,Bananas,Producer Price (LCU/tonne),2016,7001,January,1530
158,231,MYS,01/02/2016,29/02/2016,Malaysia,486,Bananas,Producer Price (LCU/tonne),2016,7002,February,1600
159,232,MYS,01/03/2016,31/03/2016,Malaysia,486,Bananas,Producer Price (LCU/tonne),2016,7003,March,1700
160,233,MYS,01/04/2016,30/04/2016,Malaysia,486,Bananas,Producer Price (LCU/tonne),2016,7004,April,1650
161,234,MYS,01/05/2016,31/05/2016,Malaysia,486,Bananas,Producer Price (LCU/tonne),2016,7005,May,1600
162,235,MYS,01/06/2016,30/06/2016,Malaysia,486,Bananas,Producer Price (LCU/tonne),2016,7006,June,1500
163,236,MYS,01/07/2016,31/07/2016,Malaysia,486,Bananas,Producer Price (LCU/tonne),2016,7007,July,1500
164,237,MYS,01/08/2016,31/08/2016,Malaysia,486,Bananas,Producer Price (LCU/tonne),2016,7008,August,1450
165,238,MYS,01/09/2016,30/09/2016,Malaysia,486,Bananas,Producer Price (LCU/tonne),2016,7009,September,1450
166,239,MYS,01/10/2016,31/10/2016,Malaysia,486,Bananas,Producer Price (LCU/tonne),2016,7010,October,1450
167,240,MYS,01/11/2016,30/11/2016,Malaysia,486,Bananas,Producer Price (LCU/tonne),2016,7011,November,1550
168,241,MYS,01/12/2016,31/12/2016,Malaysia,486,Bananas,Producer Price (LCU/tonne),2016,7012,December,1400
169,242,MYS,01/01/2017,31/12/2017,Malaysia,486,Bananas,Producer Price (LCU/tonne),2017,7021,Annual value,1625
170,243,MYS,01/01/2017,31/01/2017,Malaysia,486,Bananas,Producer Price (LCU/tonne),2017,7001,January,1450
171,244,MYS,01/02/2017,28/02/2017,Malaysia,486,Bananas,Producer Price (LCU/tonne),2017,7002,February,1450
172,245,MYS,01/03/2017,31/03/2017,Malaysia,486,Bananas,Producer Price (LCU/tonne),2017,7003,March,1500
173,246,MYS,01/04/2017,30/04/2017,Malaysia,486,Bananas,Producer Price (LCU/tonne),2017,7004,April,1750
174,247,MYS,01/05/2017,31/05/2017,Malaysia,486,Bananas,Producer Price (LCU/tonne),2017,7005,May,1750
175,248,MYS,01/06/2017,30/06/2017,Malaysia,486,Bananas,Producer Price (LCU/tonne),2017,7006,June,1700
176,249,MYS,01/07/2017,31/07/2017,Malaysia,486,Bananas,Producer Price (LCU/tonne),2017,7007,July,1700
177,250,MYS,01/08/2017,31/08/2017,Malaysia,486,Bananas,Producer Price (LCU/tonne),2017,7008,August,1700
178,251,MYS,01/09/2017,30/09/2017,Malaysia,486,Bananas,Producer Price (LCU/tonne),2017,7009,September,1700
179,252,MYS,01/10/2017,31/10/2017,Malaysia,486,Bananas,Producer Price (LCU/tonne),2017,7010,October,1650
180,253,MYS,01/11/2017,30/11/2017,Malaysia,486,Bananas,Producer Price (LCU/tonne),2017,7011,November,1550
181,254,MYS,01/12/2017,31/12/2017,Malaysia,486,Bananas,Producer Price (LCU/tonne),2017,7012,December,1600
182,255,MYS,01/01/2018,31/12/2018,Malaysia,486,Bananas,Producer Price (LCU/tonne),2018,7021,Annual value,1450
183,256,MYS,01/01/2018,31/01/2018,Malaysia,486,Bananas,Producer Price (LCU/tonne),2018,7001,January,1550
184,257,MYS,01/02/2018,28/02/2018,Malaysia,486,Bananas,Producer Price (LCU/tonne),2018,7002,February,1550
185,258,MYS,01/03/2018,31/03/2018,Malaysia,486,Bananas,Producer Price (LCU/tonne),2018,7003,March,1450
186,259,MYS,01/04/2018,30/04/2018,Malaysia,486,Bananas,Producer Price (LCU/tonne),2018,7004,April,1500
187,260,MYS,01/05/2018,31/05/2018,Malaysia,486,Bananas,Producer Price (LCU/tonne),2018,7005,May,1450
188,261,MYS,01/06/2018,30/06/2018,Malaysia,486,Bananas,Producer Price (LCU/tonne),2018,7006,June,1400
189,262,MYS,01/07/2018,31/07/2018,Malaysia,486,Bananas,Producer Price (LCU/tonne),2018,7007,July,1450
190,263,MYS,01/08/2018,31/08/2018,Malaysia,486,Bananas,Producer Price (LCU/tonne),2018,7008,August,1450
191,264,MYS,01/09/2018,30/09/2018,Malaysia,486,Bananas,Producer Price (LCU/tonne),2018,7009,September,1400
192,265,MYS,01/10/2018,31/10/2018,Malaysia,486,Bananas,Producer Price (LCU/tonne),2018,7010,October,1450
193,266,MYS,01/11/2018,30/11/2018,Malaysia,486,Bananas,Producer Price (LCU/tonne),2018,7011,November,1550
194,267,MYS,01/12/2018,31/12/2018,Malaysia,486,Bananas,Producer Price (LCU/tonne),2018,7012,December,1550
195,268,MYS,01/01/2019,31/12/2019,Malaysia,486,Bananas,Producer Price (LCU/tonne),2019,7021,Annual value,1620
196,269,MYS,01/01/2019,31/01/2019,Malaysia,486,Bananas,Producer Price (LCU/tonne),2019,7001,January,1570
197,270,MYS,01/02/2019,28/02/2019,Malaysia,486,Bananas,Producer Price (LCU/tonne),2019,7002,February,1560
198,271,MYS,01/03/2019,31/03/2019,Malaysia,486,Bananas,Producer Price (LCU/tonne),2019,7003,March,1550
199,272,MYS,01/04/2019,30/04/2019,Malaysia,486,Bananas,Producer Price (LCU/tonne),2019,7004,April,1560
200,273,MYS,01/05/2019,31/05/2019,Malaysia,486,Bananas,Producer Price (LCU/tonne),2019,7005,May,1550
201,274,MYS,01/06/2019,30/06/2019,Malaysia,486,Bananas,Producer Price (LCU/tonne),2019,7006,June,1650
202,275,MYS,01/07/2019,31/07/2019,Malaysia,486,Bananas,Producer Price (LCU/tonne),2019,7007,July,1710
203,276,MYS,01/08/2019,31/08/2019,Malaysia,486,Bananas,Producer Price (LCU/tonne),2019,7008,August,1650
204,277,MYS,01/09/2019,30/09/2019,Malaysia,486,Bananas,Producer Price (LCU/tonne),2019,7009,September,1650
205,278,MYS,01/10/2019,31/10/2019,Malaysia,486,Bananas,Producer Price (LCU/tonne),2019,7010,October,1670
206,279,MYS,01/11/2019,30/11/2019,Malaysia,486,Bananas,Producer Price (LCU/tonne),2019,7011,November,1660
207,280,MYS,01/12/2019,31/12/2019,Malaysia,486,Bananas,Producer Price (LCU/tonne),2019,7012,December,1600
208,281,MYS,01/01/2020,31/12/2020,Malaysia,486,Bananas,Producer Price (LCU/tonne),2020,7021,Annual value,2000
209,282,MYS,01/01/2020,31/01/2020,Malaysia,486,Bananas,Producer Price (LCU/tonne),2020,7001,January,1900
210,283,MYS,01/02/2020,29/02/2020,Malaysia,486,Bananas,Producer Price (LCU/tonne),2020,7002,February,1900
211,284,MYS,01/03/2020,31/03/2020,Malaysia,486,Bananas,Producer Price (LCU/tonne),2020,7003,March,2000
212,285,MYS,01/04/2020,30/04/2020,Malaysia,486,Bananas,Producer Price (LCU/tonne),2020,7004,April,2050
213,286,MYS,01/05/2020,31/05/2020,Malaysia,486,Bananas,Producer Price (LCU/tonne),2020,7005,May,2150
214,287,MYS,01/06/2020,30/06/2020,Malaysia,486,Bananas,Producer Price (LCU/tonne),2020,7006,June,1950
215,288,MYS,01/07/2020,31/07/2020,Malaysia,486,Bananas,Producer Price (LCU/tonne),2020,7007,July,2000
216,289,MYS,01/08/2020,31/08/2020,Malaysia,486,Bananas,Producer Price (LCU/tonne),2020,7008,August,2100
217,290,MYS,01/09/2020,30/09/2020,Malaysia,486,Bananas,Producer Price (LCU/tonne),2020,7009,September,2050
218,291,MYS,01/10/2020,31/10/2020,Malaysia,486,Bananas,Producer Price (LCU/tonne),2020,7010,October,2050
219,292,MYS,01/11/2020,30/11/2020,Malaysia,486,Bananas,Producer Price (LCU/tonne),2020,7011,November,2000
220,293,MYS,01/12/2020,31/12/2020,Malaysia,486,Bananas,Producer Price (LCU/tonne),2020,7012,December,1950
221,379,MYS,01/01/2012,31/12/2012,Malaysia,484,Bananas Cavendish,Producer Price (LCU/tonne),2012,7021,Annual value,1550
222,380,MYS,01/01/2013,31/12/2013,Malaysia,484,Bananas Cavendish,Producer Price (LCU/tonne),2013,7021,Annual value,1800
223,381,MYS,01/01/2014,31/12/2014,Malaysia,484,Bananas Cavendish,Producer Price (LCU/tonne),2014,7021,Annual value,1700
224,382,MYS,01/01/2015,31/12/2015,Malaysia,484,Bananas Cavendish,Producer Price (LCU/tonne),2015,7021,Annual value,1850
225,383,MYS,01/01/2016,31/12/2016,Malaysia,484,Bananas Cavendish,Producer Price (LCU/tonne),2016,7021,Annual value,2250
226,384,MYS,01/01/2016,31/01/2016,Malaysia,484,Bananas Cavendish,Producer Price (LCU/tonne),2016,7001,January,2100
227,385,MYS,01/02/2016,29/02/2016,Malaysia,484,Bananas Cavendish,Producer Price (LCU/tonne),2016,7002,February,2150
